Province_State,Country_Region,Confirmed
Alabama,US,369458
Alaska,US,47821
American Samoa,US,0
Arizona,US,539150
Arkansas,US,231442
California,US,2482002
Colorado,US,339172
Connecticut,US,190120
Delaware,US,58873
District of Columbia,US,29509
Florida,US,1354833
Georgia,US,685122
Guam,US,7326
Hawaii,US,22448
Idaho,US,142199
Illinois,US,975352
Indiana,US,523090
Iowa,US,283895
Kansas,US,230119
Kentucky,US,273970
Louisiana,US,315275
Maine,US,25245
Maryland,US,283171
Massachusetts,US,384181
Michigan,US,538121
Minnesota,US,417832
Mississippi,US,220277
Missouri,US,448387
Montana,US,81944
Nebraska,US,168262
Nevada,US,228871
New Hampshire,US,46614
New Jersey,US,541202
New Mexico,US,145379
New York,US,1011665
North Carolina,US,558437
North Dakota,US,92891
Northern Mariana Islands,US,122
Ohio,US,714673
Oklahoma,US,296343
Oregon,US,116348
Pennsylvania,US,664966
Puerto Rico,US,77932
Rhode Island,US,87949
South Carolina,US,312718
South Dakota,US,99829
Tennessee,US,599519
Texas,US,1824556
Utah,US,281654
Vermont,US,7689
Virgin Islands,US,2041
Virginia,US,358755
Washington,US,246752
West Virginia,US,89327
Wisconsin,US,523652
Wyoming,US,44573
